league,club,club_tm_id,target_club_id,player,player_tm_id,dob,age,position,shirt_number,joined,contract_until,nationality,identity_search,profile_complete,disposition,native_create_ready,reason,source,source_sha256,snapshot_date
TUR1,Kasimpasa,10484,3145843,Salih Arıcı,1438186,2008-03-27,18,Innenverteidiger,24,2026-07-01,,Türkei,VERIFIED_NONMATCH,NO,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/kasimpasa/kader/verein/10484/saison_id/2026/plus/1,c67384cb86e5ab0489a71469deab8847f74c6c6c97729fe8853bfdf343f41060,2026-09-12
TUR1,Konyaspor,2293,3145839,Emir Gündoğdu,1347138,2009-10-16,16,Torwart,65,2026-07-01,2029-06-30,Türkei,VERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/konyaspor/kader/verein/2293/saison_id/2026/plus/1,069dc7281d9365629f14ccbc97a6efb86e052d5f21328d42e8d7b49edfa417e6,2026-09-12
TUR1,Samsunspor,152,3145745,Efe Yiğit Üstün,1237420,2008-05-07,18,Torwart,13,2025-07-01,2028-06-30,Türkei,UNVERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/samsunspor/kader/verein/152/saison_id/2026/plus/1,4e99640342d6c03de82a839147f9c53a0cc4bc14523c727d2894fc2df5432171,2026-09-12
BEL1,KVC Westerlo,968,458763,Jahnilo Wiegel-Triebel,1047424,2005-03-13,21,Torwart,21,2026-07-01,2027-06-30,Suriname Niederlande,VERIFIED_NONMATCH,YES,CREATE_EVIDENCE_RATING_REQUIRED,NO,"Global Native08 identity search found no safe match; identity/contract evidence complete, but no reviewed native rating row exists",https://www.transfermarkt.de/kvc-westerlo/kader/verein/968/saison_id/2026/plus/1,4b321535def794641a57896ea3b395b11fb16964a25bb51fab6f75bf5e2a3382,2026-09-12
FRA1,FC Lorient,1158,1179673,Nosa Edward Obaretin,704456,2003-01-26,23,Innenverteidiger,55,2026-08-25,2027-06-30,Italien Nigeria,VERIFIED_NONMATCH,YES,CREATE_EVIDENCE_RATING_REQUIRED,NO,"Global Native08 identity search found no safe match; identity/contract evidence complete, but no reviewed native rating row exists",https://www.transfermarkt.de/fc-lorient/kader/verein/1158/saison_id/2026/plus/1,8985aded9368fca7ce5d7744ed4210e43a27554002fd29e32ed7f2454f7c3087,2026-09-12
ITA1,AC Monza,2919,1769533,Eddy Kouadio,957822,2006-05-03,20,Innenverteidiger,60,2026-07-08,2027-06-30,Italien Elfenbeinküste,VERIFIED_NONMATCH,YES,CREATE_EVIDENCE_RATING_REQUIRED,NO,"Global Native08 identity search found no safe match; identity/contract evidence complete, but no reviewed native rating row exists",https://www.transfermarkt.de/ac-monza/kader/verein/2919/saison_id/2026/plus/1,8f193279202724cc57a68a08441deb0fe889b73d8d97804595e81268516bfe10,2026-09-12
POR1,CD Santa Clara,2423,2490388,Dani Borges,1083604,2003-04-06,23,Defensives Mittelfeld,41,2024-01-31,2030-06-30,Brasilien,VERIFIED_NONMATCH,YES,CREATE_EVIDENCE_RATING_REQUIRED,NO,"Global Native08 identity search found no safe match; identity/contract evidence complete, but no reviewed native rating row exists",https://www.transfermarkt.de/cd-santa-clara/kader/verein/2423/saison_id/2026/plus/1,996787cc90623dddfd5c425ca2df6aae95f8fd62b8b5cfb03677a214be6550e2,2026-09-12
POR1,CD Santa Clara,2423,2490388,Fernando,1091608,2005-04-12,21,Mittelstürmer,7,2026-02-02,2029-06-30,Brasilien,VERIFIED_NONMATCH,YES,CREATE_EVIDENCE_RATING_REQUIRED,NO,"Global Native08 identity search found no safe match; identity/contract evidence complete, but no reviewed native rating row exists",https://www.transfermarkt.de/cd-santa-clara/kader/verein/2423/saison_id/2026/plus/1,996787cc90623dddfd5c425ca2df6aae95f8fd62b8b5cfb03677a214be6550e2,2026-09-12
TUR1,Erzurumspor FK,39722,3145765,Nariman Akhundzada,865793,2004-04-23,22,Mittelstürmer,90,2026-08-03,2027-06-30,Aserbaidschan,VERIFIED_NONMATCH,YES,CREATE_EVIDENCE_RATING_REQUIRED,NO,"Global Native08 identity search found no safe match; identity/contract evidence complete, but no reviewed native rating row exists",https://www.transfermarkt.de/erzurumspor-fk/kader/verein/39722/saison_id/2026/plus/1,aaa2316b00aefef231faf95d7f3e3871f7c712aaa423cb88c256177acd6d2902,2026-09-12
TUR1,Gaziantep FK,2832,3145773,Burak Enes Yıkıcı,952093,2004-03-29,22,Offensives Mittelfeld,-,2024-07-01,2027-06-30,Türkei,VERIFIED_NONMATCH,YES,CREATE_EVIDENCE_RATING_REQUIRED,NO,"Global Native08 identity search found no safe match; identity/contract evidence complete, but no reviewed native rating row exists",https://www.transfermarkt.de/gaziantep-fk/kader/verein/2832/saison_id/2026/plus/1,81446f340c520f2c5aff4253c251edc727d259530fe5221a6b24ee6cfb9e01e1,2026-09-12
TUR1,Gaziantep FK,2832,3145773,Taha Güneş,1048119,2006-01-01,20,Offensives Mittelfeld,-,2025-05-05,2027-06-30,Türkei,VERIFIED_NONMATCH,YES,CREATE_EVIDENCE_RATING_REQUIRED,NO,"Global Native08 identity search found no safe match; identity/contract evidence complete, but no reviewed native rating row exists",https://www.transfermarkt.de/gaziantep-fk/kader/verein/2832/saison_id/2026/plus/1,81446f340c520f2c5aff4253c251edc727d259530fe5221a6b24ee6cfb9e01e1,2026-09-12
TUR1,Kasimpasa,10484,3145843,Muhammed Emin Bektaş,1315482,2006-07-01,20,Mittelstürmer,99,2026-08-08,2030-06-30,Türkei,VERIFIED_NONMATCH,YES,CREATE_EVIDENCE_RATING_REQUIRED,NO,"Global Native08 identity search found no safe match; identity/contract evidence complete, but no reviewed native rating row exists",https://www.transfermarkt.de/kasimpasa/kader/verein/10484/saison_id/2026/plus/1,c67384cb86e5ab0489a71469deab8847f74c6c6c97729fe8853bfdf343f41060,2026-09-12
TUR1,Samsunspor,152,3145745,Mustafa Tan,1161013,2005-04-27,21,Rechter Verteidiger,29,2023-12-04,2028-06-30,Türkei,VERIFIED_NONMATCH,YES,CREATE_EVIDENCE_RATING_REQUIRED,NO,"Global Native08 identity search found no safe match; identity/contract evidence complete, but no reviewed native rating row exists",https://www.transfermarkt.de/samsunspor/kader/verein/152/saison_id/2026/plus/1,4e99640342d6c03de82a839147f9c53a0cc4bc14523c727d2894fc2df5432171,2026-09-12
CZE1,FC Zbrojovka Brünn,5225,786447,Colin Andrew,943864,2004-02-25,22,Torwart,30,2026-02-11,,Tschechien Nigeria,VERIFIED_NONMATCH,NO,CREATE_PROFILE_FIELDS_REQUIRED,NO,Global Native08 identity search found no safe match; nationality or contract evidence remains incomplete,https://www.transfermarkt.de/fc-zbrojovka-brunn/kader/verein/5225/saison_id/2026/plus/1,1aeecf841a85ad9d35469b9ba37af49f38aee1b2e160fdd7ebc2df04f3863d83,2026-09-12
CZE1,FK Mlada Boleslav,5546,786434,Bolu Ogungbayi,1048442,2004-05-16,22,Mittelstürmer,90,2026-02-12,,Nigeria,VERIFIED_NONMATCH,NO,CREATE_PROFILE_FIELDS_REQUIRED,NO,Global Native08 identity search found no safe match; nationality or contract evidence remains incomplete,https://www.transfermarkt.de/fk-mlada-boleslav/kader/verein/5546/saison_id/2026/plus/1,5a8600e42926651e56482ac4dac8c6e5e0e3e1754eacf142566e811f0e9bca53,2026-09-12
CZE1,FK Mlada Boleslav,5546,786434,Dominik Mares,941029,2003-02-03,23,Rechtes Mittelfeld,24,2025-01-10,,Tschechien,VERIFIED_NONMATCH,NO,CREATE_PROFILE_FIELDS_REQUIRED,NO,Global Native08 identity search found no safe match; nationality or contract evidence remains incomplete,https://www.transfermarkt.de/fk-mlada-boleslav/kader/verein/5546/saison_id/2026/plus/1,5a8600e42926651e56482ac4dac8c6e5e0e3e1754eacf142566e811f0e9bca53,2026-09-12
CZE1,FK Mlada Boleslav,5546,786434,Jan Jinoch,1166018,2006-05-02,20,Rechtsaußen,41,2025-07-29,,Tschechien,VERIFIED_NONMATCH,NO,CREATE_PROFILE_FIELDS_REQUIRED,NO,Global Native08 identity search found no safe match; nationality or contract evidence remains incomplete,https://www.transfermarkt.de/fk-mlada-boleslav/kader/verein/5546/saison_id/2026/plus/1,5a8600e42926651e56482ac4dac8c6e5e0e3e1754eacf142566e811f0e9bca53,2026-09-12
CZE1,FK Pardubice,1496,790538,Martin Reil,1143628,2006-05-05,20,Rechtsaußen,27,2025-07-01,,Tschechien,VERIFIED_NONMATCH,NO,CREATE_PROFILE_FIELDS_REQUIRED,NO,Global Native08 identity search found no safe match; nationality or contract evidence remains incomplete,https://www.transfermarkt.de/fk-pardubice/kader/verein/1496/saison_id/2026/plus/1,ff994ed3554101d4e2a5377d206e013ac142ca4f73f68a0c406e2cc0d305e0ef,2026-09-12
CZE1,FK Pardubice,1496,790538,Mouhamed Tidjane Traore,1063475,2003-03-21,23,Innenverteidiger,21,2026-07-01,,Elfenbeinküste,VERIFIED_NONMATCH,NO,CREATE_PROFILE_FIELDS_REQUIRED,NO,Global Native08 identity search found no safe match; nationality or contract evidence remains incomplete,https://www.transfermarkt.de/fk-pardubice/kader/verein/1496/saison_id/2026/plus/1,ff994ed3554101d4e2a5377d206e013ac142ca4f73f68a0c406e2cc0d305e0ef,2026-09-12
CZE1,SK Sigma Olmütz,2311,786439,John Paul Dembe,1111684,2005-07-03,21,Mittelstürmer,17,2026-01-18,,Uganda,VERIFIED_NONMATCH,NO,CREATE_PROFILE_FIELDS_REQUIRED,NO,Global Native08 identity search found no safe match; nationality or contract evidence remains incomplete,https://www.transfermarkt.de/sk-sigma-olmutz/kader/verein/2311/saison_id/2026/plus/1,c61d1f22a4e21ac99834db236d5c613fdf98db28632452029778a0c82954b875,2026-09-12
BEL1,KV Mechelen,354,458787,Malcolm Lohunanu-Mbasi,1318352,2008-05-11,18,Mittelstürmer,19,2026-07-01,2028-06-30,Belgien,POSSIBLE_NATIVE_CANDIDATE,YES,CREATE_READY_NATIVE_ACTION_REQUIRED,NO,Global zero-duplicate proof and source fields are complete; native creation action remains required,https://www.transfermarkt.de/kv-mechelen/kader/verein/354/saison_id/2026/plus/1,def54d86d9d3b7a97807ef82c6b867bdf78c5b32694c9ea844fc271b85c916a5,2026-09-12
BEL1,Lommel SK,5026,458783,Djordje Gordic,858324,2004-11-05,21,Zentrales Mittelfeld,22,2023-01-03,2027-06-30,Serbien,VERIFIED_NONMATCH,YES,CREATE_READY_NATIVE_ACTION_REQUIRED,NO,Global zero-duplicate proof and source fields are complete; native creation action remains required,https://www.transfermarkt.de/lommel-sk/kader/verein/5026/saison_id/2026/plus/1,9ff756a9f65fb1a83d753e141d2c89530fd8a9311bba2096f5846c718c381d8a,2026-09-12
BEL1,Royal Antwerpen FC,1096,458785,Mukhammadali Urinboev,763090,2005-04-24,21,Rechtsaußen,19,2025-07-07,2029-06-30,Usbekistan,POSSIBLE_NATIVE_CANDIDATE,YES,CREATE_READY_NATIVE_ACTION_REQUIRED,NO,Global zero-duplicate proof and source fields are complete; native creation action remains required,https://www.transfermarkt.de/royal-antwerpen-fc/kader/verein/1096/saison_id/2026/plus/1,eb2b5eea86d19deaf123189c966bf44bae4a2d94614134be4d229233c58d37aa,2026-09-12
CZE1,1.FC Slovacko,5544,786461,Gibril Sosseh,1372149,2007-01-01,19,Zentrales Mittelfeld,16,2026-07-31,2027-06-30,Gambia,VERIFIED_NONMATCH,YES,CREATE_READY_NATIVE_ACTION_REQUIRED,NO,Global zero-duplicate proof and source fields are complete; native creation action remains required,https://www.transfermarkt.de/1-fc-slovacko/kader/verein/5544/saison_id/2026/plus/1,42dab36a10cfd13d442ece1bb7499f652fac54d38b8eba2248452673a53bcacf,2026-09-12
CZE1,Bohemians Prag 1905,715,786453,Samuel Obinaya,1237999,2005-08-28,21,Zentrales Mittelfeld,-,2026-08-21,2027-06-30,Ukraine,VERIFIED_NONMATCH,YES,CREATE_READY_NATIVE_ACTION_REQUIRED,NO,Global zero-duplicate proof and source fields are complete; native creation action remains required,https://www.transfermarkt.de/bohemians-prag-1905/kader/verein/715/saison_id/2026/plus/1,ebdb6624691ca6718b5ca6df413da8f706167c604575caed018b5bb2940716cb,2026-09-12
CZE1,FC Banik Ostrau,377,786446,Maksym Dyachuk,726014,2003-07-21,23,Innenverteidiger,16,2026-07-10,2027-06-30,Ukraine,VERIFIED_NONMATCH,YES,CREATE_READY_NATIVE_ACTION_REQUIRED,NO,Global zero-duplicate proof and source fields are complete; native creation action remains required,https://www.transfermarkt.de/fc-banik-ostrau/kader/verein/377/saison_id/2026/plus/1,3717000ca143110b9cff7bc66843b5e54104cdaa75d0e196220c4e77c8b4d611,2026-09-12
ESP1,Deportivo Alavés,1108,2949141,Jonny Otto,175446,1994-03-03,32,Rechter Verteidiger,17,2025-07-02,2027-06-30,Spanien,POSSIBLE_NATIVE_CANDIDATE,YES,CREATE_READY_NATIVE_ACTION_REQUIRED,NO,Global zero-duplicate proof and source fields are complete; native creation action remains required,https://www.transfermarkt.de/deportivo-alaves/kader/verein/1108/saison_id/2026/plus/1,06d4598c609cd72aa3bf8bb397dd9ae34b37f736115a6b54149329247d4b6814,2026-09-12
ESP1,FC Sevilla,368,2949138,Peque Fernández,639733,2002-10-04,23,Hängende Spitze,10,2024-07-11,2028-06-30,Spanien,VERIFIED_NONMATCH,YES,CREATE_READY_NATIVE_ACTION_REQUIRED,NO,Global zero-duplicate proof and source fields are complete; native creation action remains required,https://www.transfermarkt.de/fc-sevilla/kader/verein/368/saison_id/2026/plus/1,3d82cb81b17e3c88b8c27f6603b222e965a349dcb68187b46e8ce65da5194abd,2026-09-12
FRA1,Paris Saint-Germain,583,1179663,Lucas Beraldo,872171,2003-11-24,22,Innenverteidiger,4,2024-01-01,2031-06-30,Brasilien,POSSIBLE_NATIVE_CANDIDATE,YES,CREATE_READY_NATIVE_ACTION_REQUIRED,NO,Global zero-duplicate proof and source fields are complete; native creation action remains required,https://www.transfermarkt.de/paris-saint-germain/kader/verein/583/saison_id/2026/plus/1,2452d2a339d5db63bfbc01cd73c713435dedf75dc1ae9d023fcd82491e789d9d,2026-09-12
POR1,Casa Pia AC,3268,2494469,Gabi,567516,2000-04-18,26,Zentrales Mittelfeld,8,2026-07-10,2029-06-30,Portugal,VERIFIED_NONMATCH,YES,CREATE_READY_NATIVE_ACTION_REQUIRED,NO,Global zero-duplicate proof and source fields are complete; native creation action remains required,https://www.transfermarkt.de/casa-pia-ac/kader/verein/3268/saison_id/2026/plus/1,a3e2a5277eff3871e27db7ef969d3905123f5c71aebb08128024f85e9a547b72,2026-09-12
POR1,FC Famalicão,3329,2490398,Georgios Koutsias,724039,2004-02-08,22,Mittelstürmer,70,2026-07-24,2031-06-30,Griechenland,VERIFIED_NONMATCH,YES,CREATE_READY_NATIVE_ACTION_REQUIRED,NO,Global zero-duplicate proof and source fields are complete; native creation action remains required,https://www.transfermarkt.de/fc-famalicao/kader/verein/3329/saison_id/2026/plus/1,52ed6f3f188fcbdc2398a013bd0aa1005388801741871711df5ab62761c66f72,2026-09-12
POR1,FC Famalicão,3329,2490398,Pato,1150372,2004-02-17,22,Mittelstürmer,33,2026-09-02,2027-06-30,Mexiko,VERIFIED_NONMATCH,YES,CREATE_READY_NATIVE_ACTION_REQUIRED,NO,Global zero-duplicate proof and source fields are complete; native creation action remains required,https://www.transfermarkt.de/fc-famalicao/kader/verein/3329/saison_id/2026/plus/1,52ed6f3f188fcbdc2398a013bd0aa1005388801741871711df5ab62761c66f72,2026-09-12
POR1,GD Estoril Praia,1465,2490386,Israel Salazar,634430,2003-05-10,23,Mittelstürmer,38,2024-08-15,2028-06-30,Spanien,POSSIBLE_NATIVE_CANDIDATE,YES,CREATE_READY_NATIVE_ACTION_REQUIRED,NO,Global zero-duplicate proof and source fields are complete; native creation action remains required,https://www.transfermarkt.de/gd-estoril-praia/kader/verein/1465/saison_id/2026/plus/1,1f4451857a09faf4bc5a12d1790c126a29e1c7346930e118c1c73d3f15c8f2d8,2026-09-12
POR1,Moreirense FC,979,2490377,Alexandre Parsemain,811432,2003-05-27,23,Mittelstürmer,9,2026-07-02,2030-06-30,Martinique Frankreich,VERIFIED_NONMATCH,YES,CREATE_READY_NATIVE_ACTION_REQUIRED,NO,Global zero-duplicate proof and source fields are complete; native creation action remains required,https://www.transfermarkt.de/moreirense-fc/kader/verein/979/saison_id/2026/plus/1,9aa16aff197b371e36892b5321c0c1db769f09802a8338c111eb56304e7798bc,2026-09-12
POR1,SC Braga,1075,2490374,Gorby,631404,2002-07-25,24,Zentrales Mittelfeld,29,2021-12-01,2028-06-30,Frankreich Haiti,POSSIBLE_NATIVE_CANDIDATE,YES,CREATE_READY_NATIVE_ACTION_REQUIRED,NO,Global zero-duplicate proof and source fields are complete; native creation action remains required,https://www.transfermarkt.de/sc-braga/kader/verein/1075/saison_id/2026/plus/1,a179610f71e6ea7b41b62a1d2448a6aa9ceac20ea3d9356ad08e919d3506e2a7,2026-09-12
POR1,Sporting Lissabon,336,2490382,Georgios Vagiannidis,546186,2001-09-12,24,Rechter Verteidiger,13,2025-08-06,2030-06-30,Griechenland,POSSIBLE_NATIVE_CANDIDATE,YES,CREATE_READY_NATIVE_ACTION_REQUIRED,NO,Global zero-duplicate proof and source fields are complete; native creation action remains required,https://www.transfermarkt.de/sporting-lissabon/kader/verein/336/saison_id/2026/plus/1,fce120a2b046675218521683927dd5d73c66a22ed96ac121140956eb3bee30ba,2026-09-12
TUR1,Alanyaspor,11282,3145783,Mahmut Can Kara,1175619,2006-01-01,20,Torwart,-,2026-07-01,2028-06-30,Türkei,VERIFIED_NONMATCH,YES,CREATE_READY_NATIVE_ACTION_REQUIRED,NO,Global zero-duplicate proof and source fields are complete; native creation action remains required,https://www.transfermarkt.de/alanyaspor/kader/verein/11282/saison_id/2026/plus/1,433f3e66ff8083db45d3eda79b081cc9c234137060d5070be407da48d877ae43,2026-09-12
TUR1,Basaksehir FK,6890,3145841,Abbosbek Fayzullaev,754037,2003-10-03,22,Rechtsaußen,11,2025-07-30,2030-06-30,Usbekistan,POSSIBLE_NATIVE_CANDIDATE,YES,CREATE_READY_NATIVE_ACTION_REQUIRED,NO,Global zero-duplicate proof and source fields are complete; native creation action remains required,https://www.transfermarkt.de/basaksehir-fk/kader/verein/6890/saison_id/2026/plus/1,ce3135bc2b2b9daa2d2bea05e7e218c5933214f172404552d071997b77f3b230,2026-09-12
TUR1,Genclerbirligi Ankara,820,3145836,Ousmane Diabate,1489506,2007-09-24,18,Defensives Mittelfeld,42,2026-08-26,2027-06-30,Guinea,VERIFIED_NONMATCH,YES,CREATE_READY_NATIVE_ACTION_REQUIRED,NO,Global zero-duplicate proof and source fields are complete; native creation action remains required,https://www.transfermarkt.de/genclerbirligi-ankara/kader/verein/820/saison_id/2026/plus/1,9fb824ef54d8cf6c84b7b150acc7ac82c0b5fa7fc8222f7f3c24c366e83db062,2026-09-12
TUR1,Göztepe,1467,3145820,Juan,662332,2002-03-07,24,Mittelstürmer,9,2025-08-25,2029-06-30,Brasilien,POSSIBLE_NATIVE_CANDIDATE,YES,CREATE_READY_NATIVE_ACTION_REQUIRED,NO,Global zero-duplicate proof and source fields are complete; native creation action remains required,https://www.transfermarkt.de/goztepe/kader/verein/1467/saison_id/2026/plus/1,7e750ea20c17f8114b86f2de82ca9a2830fe95988c05d73fe5e72a2f70c29e0f,2026-09-12
ENG1,Aston Villa,405,917506,Alysson,1005583,2006-05-05,20,Rechtsaußen,47,2026-01-01,2031-06-30,Brasilien,UNVERIFIED_NONMATCH,YES,EXPLICIT_PREREQUISITE_BLOCKER,NO,Two prior identity/profile attempts completed; unresolved prerequisite: IDENTITY_AMBIGUITY_FUZZY_CANDIDATE,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Brentford,1148,917569,El Hadji Malick Diouf,1111589,2004-12-29,21,Linker Verteidiger,25,2026-08-28,2031-06-30,Senegal,UNVERIFIED_NONMATCH,YES,EXPLICIT_PREREQUISITE_BLOCKER,NO,Two prior identity/profile attempts completed; unresolved prerequisite: IDENTITY_AMBIGUITY_DUPLICATE_REVIEW_LEAD,https://www.transfermarkt.de/fc-brentford/kader/verein/1148/saison_id/2026/plus/1,98977ec56621e787ba2b89973d53a14e8f3ee796ba25d92646304551ba9c96fa,2026-09-12
ENG1,Chelsea,631,917513,Gabriel Slonina,656316,2004-05-15,22,Torwart,44,2022-08-02,2028-06-30,Vereinigte Staaten Polen,UNVERIFIED_NONMATCH,YES,EXPLICIT_PREREQUISITE_BLOCKER,NO,Two prior identity/profile attempts completed; unresolved prerequisite: IDENTITY_AMBIGUITY_DUPLICATE_REVIEW_LEAD,https://www.transfermarkt.de/fc-chelsea/kader/verein/631/saison_id/2026/plus/1,654f4cd4c0ce8c73da8a919c8a23c05e00fc473650df3999c3441d42c128ae64,2026-09-12
ENG1,Hull City,3008,917532,Matt Targett,250478,1995-09-18,30,Linker Verteidiger,23,2026-07-23,2028-06-30,England Schottland,UNVERIFIED_NONMATCH,YES,EXPLICIT_PREREQUISITE_BLOCKER,NO,Two prior identity/profile attempts completed; unresolved prerequisite: IDENTITY_AMBIGUITY_DUPLICATE_REVIEW_LEAD | IDENTITY_AMBIGUITY_FUZZY_CANDIDATE,https://www.transfermarkt.de/hull-city/kader/verein/3008/saison_id/2026/plus/1,95d27e3b77eef2306101f2b6eab92a02d56308a31e0d34299be2fa82dcf331db,2026-09-12
ENG1,Tottenham Hotspur,148,917514,Sávio,743591,2004-04-10,22,Linksaußen,17,2026-08-25,2031-06-30,Brasilien,UNVERIFIED_NONMATCH,YES,EXPLICIT_PREREQUISITE_BLOCKER,NO,Two prior identity/profile attempts completed; unresolved prerequisite: IDENTITY_AMBIGUITY_FUZZY_CANDIDATE,https://www.transfermarkt.de/tottenham-hotspur/kader/verein/148/saison_id/2026/plus/1,007fc11048dc50b4cfd2c580b82958bb7cc02f984af0af71c4079e53b5c71390,2026-09-12
GER3,SC Fortuna Köln,92,1376444,David Kamm Al-Azzawe,122268,1992-06-05,34,Innenverteidiger,15,2025-07-01,2027-06-30,Irak Deutschland,UNVERIFIED_NONMATCH,YES,EXPLICIT_PREREQUISITE_BLOCKER,NO,Two prior identity/profile attempts completed; unresolved prerequisite: IDENTITY_AMBIGUITY_DUPLICATE_REVIEW_LEAD | IDENTITY_AMBIGUITY_FUZZY_CANDIDATE,https://www.transfermarkt.de/sc-fortuna-koln/kader/verein/92/saison_id/2026/plus/1,c255b2b753fa967f4c2eb7cdee0e0a6e7bb7b0e3c371fdcdfc7a8694476b2be0,2026-09-12
ESP1,Deportivo Alavés,1108,2949141,Carlos Protesoni,431190,1998-03-30,28,Defensives Mittelfeld,23,2022-07-01,2028-06-30,Uruguay Italien,POSSIBLE_NATIVE_CANDIDATE,YES,IDENTITY_CANDIDATE_REVIEW,NO,Native candidate 283828 must be resolved before player creation,https://www.transfermarkt.de/deportivo-alaves/kader/verein/1108/saison_id/2026/plus/1,06d4598c609cd72aa3bf8bb397dd9ae34b37f736115a6b54149329247d4b6814,2026-09-12
FRA1,FC Stade Rennes,273,1179656,Mousa Al-Tamari,551505,1997-06-10,29,Rechtsaußen,11,2025-02-03,2028-06-30,Jordanien,POSSIBLE_NATIVE_CANDIDATE,YES,IDENTITY_CANDIDATE_REVIEW,NO,Native candidate 292155 must be resolved before player creation,https://www.transfermarkt.de/fc-stade-rennes/kader/verein/273/saison_id/2026/plus/1,00eacc4de7646d87b15affe96598d94d3f9f10626f41f9831e67065e98b85395,2026-09-12
FRA1,Le Havre AC,738,1179681,Mbwana Samatta,182201,1992-12-23,33,Mittelstürmer,25,2025-08-05,2027-06-30,Tansania,POSSIBLE_NATIVE_CANDIDATE,YES,IDENTITY_CANDIDATE_REVIEW,NO,Native candidate 290015 must be resolved before player creation,https://www.transfermarkt.de/le-havre-ac/kader/verein/738/saison_id/2026/plus/1,c689367405332b2d53df382c7e86172b8f1c4f1721cf694d45fd4f70cea2659b,2026-09-12
ITA1,US Lecce,1005,1769483,Gaspar,836441,1997-09-27,28,Innenverteidiger,4,2024-07-01,2027-06-30,Angola,POSSIBLE_NATIVE_CANDIDATE,YES,IDENTITY_CANDIDATE_REVIEW,NO,Native candidate 287096 must be resolved before player creation,https://www.transfermarkt.de/us-lecce/kader/verein/1005/saison_id/2026/plus/1,f70b73ab0beef18f4707e1b846172f928bd484c8e6abc3aab35570487739b4bc,2026-09-12
POR1,FC Famalicão,3329,2490398,Léo Realpe,656409,2001-02-26,25,Innenverteidiger,3,2025-07-01,2029-06-30,Ecuador,POSSIBLE_NATIVE_CANDIDATE,YES,IDENTITY_CANDIDATE_REVIEW,NO,Native candidate 287688 must be resolved before player creation,https://www.transfermarkt.de/fc-famalicao/kader/verein/3329/saison_id/2026/plus/1,52ed6f3f188fcbdc2398a013bd0aa1005388801741871711df5ab62761c66f72,2026-09-12
POR1,Gil Vicente FC,2424,2490375,Buatu,137313,1993-09-27,32,Innenverteidiger,39,2024-01-25,2028-06-30,Angola Belgien,POSSIBLE_NATIVE_CANDIDATE,YES,IDENTITY_CANDIDATE_REVIEW,NO,Native candidate 287211 must be resolved before player creation,https://www.transfermarkt.de/gil-vicente-fc/kader/verein/2424/saison_id/2026/plus/1,e615ed113cbf0012df4490859c154266a50a72247c7f67c260f2f4ab6c49e4d1,2026-09-12
POR1,Sporting Lissabon,336,2490382,Maxi Araújo,572675,2000-02-15,26,Linker Verteidiger,20,2024-08-27,2030-06-30,Uruguay,POSSIBLE_NATIVE_CANDIDATE,YES,IDENTITY_CANDIDATE_REVIEW,NO,Native candidate 286412 must be resolved before player creation,https://www.transfermarkt.de/sporting-lissabon/kader/verein/336/saison_id/2026/plus/1,fce120a2b046675218521683927dd5d73c66a22ed96ac121140956eb3bee30ba,2026-09-12
TUR1,Göztepe,1467,3145820,Tino Anjorin,433181,2001-11-23,24,Zentrales Mittelfeld,18,2026-09-04,2027-06-30,England Nigeria,POSSIBLE_NATIVE_CANDIDATE,YES,IDENTITY_CANDIDATE_REVIEW,NO,Native candidate 200486 must be resolved before player creation,https://www.transfermarkt.de/goztepe/kader/verein/1467/saison_id/2026/plus/1,7e750ea20c17f8114b86f2de82ca9a2830fe95988c05d73fe5e72a2f70c29e0f,2026-09-12
ENG1,AFC Bournemouth,989,917553,Juanlu Sánchez,676042,2003-08-15,23,Rechter Verteidiger,24,2026-08-06,,,UNVERIFIED_NONMATCH,NO,IDENTITY_SEARCH_REQUIRED,NO,Native08 nonmatch has not passed the two-step global identity review,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359,2026-09-12
ENG1,AFC Bournemouth,989,917553,Junior Kroupi,955357,2006-06-23,20,Mittelstürmer,22,2025-02-03,2030-06-30,,UNVERIFIED_NONMATCH,NO,IDENTITY_SEARCH_REQUIRED,NO,Native08 nonmatch has not passed the two-step global identity review,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359,2026-09-12
